id;codigo;nome;semestre;horas;requisitos;corequisitos;area;tipo;horario
sustent;CDS0007;INTRODUCAO AO DESENVOLVIMENTO SUSTENTAVEL;1;60;;;humanas;OBG;35N34, 35T45, 36N12
introep;EPR0056 | EPR0122;INTRODUCAO A ENGENHARIA DE PRODUCAO;1;30;;;prodbas;OBG;6N34
engtrabalho;EPR0076;ENGENHARIA DO TRABALHO;1;30;;;prodbas;OBG;5N12
fis1;IFD0171;FISICA 1;1;60;;;exatas;OBG;24M12, 24T23, 24T45, 26T45, 2N34, 35M12, 35T23, 35T45, 46M34, 4M34, 4N12, 6M34
fis1exp;IFD0173;FISICA 1 EXPERIMENTAL;1;30;;IFD0171;exatas;OBG;2M34, 2T23, 3M12, 3M34, 3T23, 4M12, 4M34, 4N34, 4T23, 5M12, 5M34, 5T23, 5T45, 6M12, 6M34, 6T23, 6T45, 7M34
calc1;MAT0025;CALCULO 1;1;90;;;exatas;OBG;234M34, 235M12, 235M34, 235T45, 246M12, 246M34, 246N12, 246T23, 2M12, 2M1234, 2M34, 2N12, 2T23, 34M34, 356M12, 35M34, 35M5, 35N34, 35T1, 3M12, 3M34, 46M12, 46M5, 46N12, 46T1, 46T23, 4M12, 56M12, 5M34, 5N1234, 6N12
formvalor;EPR0061;FORMACAO DE VALOR EM SISTEMAS DE PRODUCAO;2;30;;;prodbas;OBG;4N34
fis2exp;IFD0177;FISICA 2 EXPERIMENTAL;2;60;IFD0171, IFD0173;IFD0175;exatas;OBG;2M1234, 3M1234, 3T2345, 4M1234, 5T2345, 6M1234, 6N1234, 6T2345
fis2;IFD0175;FISICA 2;2;60;IFD0171, MAT0025, IFD0173;;exatas;OBG;24M12, 24T23, 2N34, 35M12, 35M34, 35T45, 46M34, 4N12
calc2;MAT0026;CALCULO 2;2;90;MAT0025;;exatas;OBG;235M12, 235M34, 235T23, 246M12, 246T23, 2M12, 2M34, 2N12, 356M12, 35M12, 35M34, 35N34, 3N34, 56N12, 6M12
metodologia;EPR0069;METODOLOGIA DE PROJETO DE SISTEMAS DE PRODUCAO;3;30;EPR0056;;prodbas;OBG;5N12
fis3;IFD0179;FISICA 3;3;60;IFD0175, MAT0026;;exatas;OBG;24T23, 24T45, 26N34, 2T45, 35T23, 35T45, 46M34, 4T45
calc3;MAT0027;CALCULO 3;3;90;MAT0025;;exatas;OBG;235M34, 235T45, 246T23, 2M1234, 2M34, 2N12, 356M12, 35M34, 35N34, 4M12
transcalor;ENM0128;TRANSPORTE DE CALOR E MASSA;4;60;IFD0175, IFD0177, MAT0027;;exatas;OBG;35N12, 35T45
psp1;EPR0071;PROJETO DE SISTEMAS DE PRODUCAO 1;4;30;EPR0061,EPR0069,EPR0076;;projetos;OBG;2N34
probest;EST0023;PROBABILIDADE E ESTATISTICA;4;60;MAT0025;;exatas;OBG;24M12, 24M34, 24N12, 24T23, 24T45, 46M12, 46M34, 46T23
quimicateo;IQD0125;QUIMICA GERAL TEORICA;4;60;;;exatas;OBG;24M34, 26T23, 2M34, 2T23, 35M12, 35N34, 35T23, 4T45, 6M34, 6T23
quimicaexp;IQD0126;QUIMICA GERAL EXPERIMENTAL;4;30;;;exatas;OBG;2M12, 2M34, 2T23, 2T45, 3M12, 3M34, 3N12, 3T45, 4M12, 4M34, 5M12, 5M34, 5T23, 5T45, 6N34, 6T45
introeco;ECO0019;INTRODUCAO A ECONOMIA;5;60;;;humanas;OBG;24M12, 24M34, 24N34, 24T23, 24T45, 26N34, 35M12, 35M34, 35N12, 35N34, 35T23, 6N1234
engeco;EPR0064;ENGENHARIA ECONOMICA;5;60;EST0023;;prodesp;OBG;24N12
sisinfo;EPR0072;SISTEMAS DE INFORMACAO EM ENGENHARIA DE PRODUCAO;5;60;CIC0007 OU ENE0334;EPR0073;prodesp;OBG;35N12
psp2;EPR0073;PROJETO DE SISTEMAS DE PRODUCAO 2;5;30;EPR0071;EPR0072;projetos;OBG;3N34, 5N34
cienciamat;ENM0126;INTRODUCAO A CIENCIA DOS MATERIAIS;6;45;IQD0051 OU IQD0058 + IQD0126 OU IQD0125 + IQD0126;;exatas;OBG;2N12, 4M123, 4M124, 4M34, 6M3, 6M4, 6N1, 6N2
pesqoperacional;EPR0066;PESQUISA OPERACIONAL EM ENGENHARIA 1;6;90;EST0023;;prodesp;OBG;235N34
cienciapol;POL0011;INTRODUCAO A CIENCIA POLITICA;6;60;;;humanas;OBG;24M12, 24M34, 24N12, 24N34, 24T23, 2N34, 35M12, 35N12, 35T45, 4N34, 6N1234
procfab;ENM0171;PROCESSOS DE FABRICACAO;7;60;ENM0172 OU ENM0126;;prodesp;OBG;24M12, 46N12
